Name,ItemID,DisplayName,Description,ItemType,Weight,MaxStack,EquipSlot,BaseValue,bHasDurability,MaxDurability,CurrentDurability,Icon,WorldMeshClass
Bread,Bread,호밀빵,"허기를 달래는 딱딱한 호밀빵. 굶주린 이에게 나눠주기 좋다.",Consumable,0.4,16,None,8,False,100.0,100.0,,
Bandage,Bandage,붕대,"상처를 감는 마천 붕대. 다친 사람에게 감아주면 지혈된다.",Consumable,0.2,16,None,12,False,100.0,100.0,,
WaterSkin,WaterSkin,가죽 물통,"갈증을 해소하는 가죽 물통. 지친 이에게 건네기 좋다.",Consumable,1.2,4,None,15,False,100.0,100.0,,
CoinPouch,CoinPouch,은화 주머니,"은화가 든 가죽 주머니. 거래나 뇌물에 쓰인다.",General,0.5,1,None,100,False,100.0,100.0,,
Torch,Torch,횃불,"어둠을 밝히는 송진 횃불. 들면 주변 시야가 트인다.",Equipment,1.0,1,OffHand,15,True,120.0,120.0,,
KnightSword,KnightSword,기사단 장검,"기사단 제식 장검. 장착하면 정면 교전에 나설 수 있다.",Equipment,4.5,1,MainHand,250,True,200.0,200.0,,
Shield_Knight,Shield_Knight,기사단 방패,"기사단 문장이 새겨진 방패. 들면 적의 공격을 막아낸다.",Equipment,6.0,1,OffHand,180,True,250.0,250.0,,
HealthPotion,HealthPotion,치유 물약,"붉은 치유 물약. 마시면 상처가 아문다.",Consumable,0.5,8,None,60,False,100.0,100.0,,
OathScroll,OathScroll,서약 두루마리,"기사단 서약이 적힌 두루마리. 명예를 인정한 자에게 수여한다.",Quest,0.1,1,None,0,False,100.0,100.0,,
Cutlass_Pirate,Cutlass_Pirate,해적 커틀러스,"해적의 굽은 커틀러스. 장착하면 근접전을 벌인다.",Equipment,3.0,1,MainHand,200,True,160.0,160.0,,
Pistol,Pistol,부싯돌 권총,"화승식 부싯돌 권총. 한 발로 기선을 제압한다.",Equipment,2.2,1,MainHand,320,True,100.0,100.0,,
RumBottle,RumBottle,럼주 병,"독한 사탕수수 럼주. 마시면 사기가 오른다.",Consumable,1.5,4,None,35,False,100.0,100.0,,
TreasureKey,TreasureKey,보물 열쇠,"보물궤를 여는 녹슨 열쇠. 해적선장이 목숨처럼 지닌다.",Quest,0.2,1,None,0,False,100.0,100.0,,
HerbTea,HerbTea,약초 차,"따뜻한 약초 차. 건네면 마음이 진정된다.",Consumable,0.6,8,None,25,False,100.0,100.0,,
SmokeBomb,SmokeBomb,연막 구슬,"연막을 터뜨리는 구슬. 고립되었을 때 도주에 쓴다.",Consumable,0.4,8,None,45,False,100.0,100.0,,
HerbBasket,HerbBasket,약초 바구니,"약초를 담은 바구니. 차와 연고의 재료가 된다.",General,2.0,1,None,30,False,100.0,100.0,,
Compass,Compass,황동 나침반,"자침이 달린 황동 나침반. 항로와 방위를 읽는다.",General,0.3,1,None,120,False,100.0,100.0,,
StarMap,StarMap,성도판,"별자리 좌표가 그려진 성도판. 항해 계산에 반드시 필요하다.",Quest,0.2,1,None,0,False,100.0,100.0,,
NavDagger,NavDagger,항해사용 단검,"항해사의 호신용 단검. 밧줄을 끊고 몸을 지킨다.",Equipment,1.2,1,MainHand,140,True,120.0,120.0,,
Telescope,Telescope,놋쇠 망원경,"놋쇠 망원경. 먼 수평선과 별을 관측한다.",General,1.8,1,None,200,False,100.0,100.0,,
GuardSpear,GuardSpear,경비대 장창,"경비대 제식 장창. 관문을 지키며 접근을 막는다.",Equipment,5.0,1,MainHand,160,True,180.0,180.0,,
GuardShield,GuardShield,경비용 방패,"성문 경비용 대형 방패. 들면 통로를 봉쇄한다.",Equipment,5.5,1,OffHand,140,True,220.0,220.0,,
Whistle,Whistle,비상 호루라기,"비상 호출 휘슬. 불면 동료 경비병이 달려온다.",General,0.1,1,None,20,False,100.0,100.0,,
PassDoc,PassDoc,통행증,"영주 직인이 찍힌 통행증. 검문 시 제시해야 한다.",Quest,0.05,1,None,0,False,100.0,100.0,,
Rock,Rock,돌멩이,"흔한 회색 돌덩이. 던지거나 조합 재료로 쓴다.",General,1.0,64,None,1,False,100.0,100.0,,
IronIngot,IronIngot,철 주괴,"제련된 철 주괴. 무기와 도구를 벼리는 재료다.",General,2.5,32,None,40,False,100.0,100.0,,
WaterBucket,WaterBucket,물 양동이,"물을 가득 담은 나무 양동이. 불을 끄거나 말에게 먹인다.",General,2.5,1,None,15,False,100.0,100.0,,
HonorFlower,HonorFlower,명예의 꽃,"명예를 기리는 푸른 야생화. 위령비에 바치거나 서약에 쓴다.",Quest,0.1,1,None,0,False,100.0,100.0,,
DivingHelmet,DivingHelmet,잠수 투구,"놋쇠 잠수 투구. 쓰면 바닷속 난파선을 탐사할 수 있다.",Equipment,4.0,1,Head,220,True,150.0,150.0,,
GoldChest,GoldChest,황금 궤짝,"황금이 가득 찬 무거운 궤짝. 해적의 숨겨진 보물이다.",Quest,5.0,1,None,0,False,100.0,100.0,,
Microphone,Microphone,수정 마이크,"목소리를 맑게 증폭하는 수정 마이크. 치유 방송에 쓴다.",General,0.4,1,None,80,False,100.0,100.0,,
SoftBlanket,SoftBlanket,양모 담요,"포근한 양모 담요. 지치거나 떨고 있는 이에게 덮어준다.",General,1.2,1,None,25,False,100.0,100.0,,
ShipWheel,ShipWheel,조타륜,"견고한 참나무 키 핸들. 조타석에 장착해 배를 조종한다.",General,3.5,1,None,150,False,100.0,100.0,,
BrokenCompass,BrokenCompass,고장난 나침반,"자침이 고장 난 낡은 나침반. 대장장이나 항해사가 수리한다.",General,0.3,1,None,30,False,100.0,100.0,,
BribeCoin,BribeCoin,뇌물 동전,"경비병의 눈을 돌리기 위해 은밀히 건네는 뇌물 동전.",General,0.2,16,None,50,False,100.0,100.0,,
MagnifyingGlass,MagnifyingGlass,돋보기,"정밀한 돋보기. 보석 감정과 고문서 해독에 쓰인다.",General,0.3,1,None,90,False,100.0,100.0,,
GoldCoins,GoldCoins,금화 주머니,"묵직한 금화 주머니. 대규모 거래와 장비 구매에 쓰인다.",General,0.8,1,None,500,False,100.0,100.0,,
MagicGem,MagicGem,마력 보석,"영롱한 빛의 마력 보석. 마법 장비나 연금술 재료로 쓴다.",General,0.2,8,None,300,False,100.0,100.0,,
AncientScroll,AncientScroll,고대 스크롤,"고대어가 적힌 양피지 두루마리. 학자가 해독할 수 있다.",Quest,0.1,1,None,0,False,100.0,100.0,,
